link;correct_ocr;misread_word;newspaper
http://hdl.handle.net/109.3.1/uuid:9b5403b2-a02b-4647-995b-a5269b75f650;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:2f760156-c277-4117-b80c-13ff6ad27afb;0;Gjødning;aarhusamtstidende
http://hdl.handle.net/109.3.1/uuid:70a178d0-575a-4a5b-bd7d-a3cae0625188;0;Kjøbenhavn;aarhusamtstidende
http://hdl.handle.net/109.3.1/uuid:70098e20-0094-4c9c-b35e-bcb438f290fc;1;NA;berlingske
http://hdl.handle.net/109.3.1/uuid:0da9a43f-1a09-4737-acc5-19b9ebf650f7;1;NA;socialdemokraten
http://hdl.handle.net/109.3.1/uuid:3efe83ae-beaf-4f65-b890-6db800ff71ac;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:66734df1-55e2-45a7-bc0d-a89037a583b4;0;Kjøbenhavns;flyveposten
http://hdl.handle.net/109.3.1/uuid:4064f2bd-b1af-45a1-b8b8-2a16eaa5ca57;1;NA;ribestiftstidende
http://hdl.handle.net/109.3.1/uuid:d07b9e46-a24c-42b5-b27a-4ecda7513623;0;Comiteen;Kjøbenhavnsposten
http://hdl.handle.net/109.3.1/uuid:cbab9950-733c-4987-8dbf-fcb96bd35e47;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:0710ef0c-b251-4e98-bba4-d160c326fd42;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:5d540c57-a96e-4eee-b3aa-52ea1cd4ed6f;1;NA;frederiksborgamtsavis
http://hdl.handle.net/109.3.1/uuid:7fb6b02b-79af-4c74-99c8-17f6de103477;0;Comiteen;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:08654c55-534e-4943-9fb1-148347bcb3a6;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:2cf5d1dd-90d2-4721-a968-5b34e0c836bd;0;Sommer;folketsaviskoebenhavn
http://hdl.handle.net/109.3.1/uuid:db13915d-4c4e-4356-8f2d-9d8f3b172cc7;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:d4e9f410-25d8-40c2-a01e-3bac96fd6e93;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:a7b469cc-0c93-4ca1-9432-b7f8599415ce;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:ad78c11a-516d-45d7-b0aa-19fd9d7d3857;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:55f030e6-bacf-4e7a-b9b2-22a7956d5901;1;NA;soroeamtstidende
http://hdl.handle.net/109.3.1/uuid:9b6281f3-940b-4e73-b7e6-9e3e70747445;0;Kjøbenhavns;koldingfolkeblad
http://hdl.handle.net/109.3.1/uuid:bc1944dc-6ada-4669-ab89-a2804b7a0525;0;notreadble;horsensfolkeblad
http://hdl.handle.net/109.3.1/uuid:e8a3981f-c151-46df-89fe-429bb9692064;0;Comiteen;adresseavisen
http://hdl.handle.net/109.3.1/uuid:0810f42a-60e9-4554-bf0d-ef5c7519bdcd;1;NA;horsensavis
http://hdl.handle.net/109.3.1/uuid:f129e4a5-ffd7-4601-939e-b22e288121f4;0;Kjøbers.Kjøbenhavn.Kjøbenhavns;horsensavis
http://hdl.handle.net/109.3.1/uuid:2a1036f4-5f9f-4fb4-bf64-661d500be57b;1;NA;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:cb1e930c-8dd6-4fc3-bef3-8540413474ab;0;Føre;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:b55b5a57-271c-46ce-a64e-acdae007eee3;0;Døde;sjaellandspostenringsted
http://hdl.handle.net/109.3.1/uuid:7c6c0121-81fd-4d1a-b850-9085130de4e7;1;NA;kjoegeavis
http://hdl.handle.net/109.3.1/uuid:83ad585b-48b4-460a-9e06-4a8ed5770cd8;0;Kjøbenhavn;morgenbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:074d54a2-8150-488f-8e39-a5549bf45f19;0;Kjøbenhavn;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:bce24fcc-d59a-478f-84ea-2c96467b4cbe;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:8f28e211-c048-449f-9834-bcaefa1b6d82;0;Kjøbmand;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:feedb043-4f35-4f5e-8a57-1f3268dce2f2;1;NA;adresseavisen
http://hdl.handle.net/109.3.1/uuid:1f9215c8-c812-4b1a-9e0a-ff2d279a2159;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:4152fcf5-10c7-416b-940a-7b87f7763b52;1;NA;berlingske
http://hdl.handle.net/109.3.1/uuid:998830df-e64e-4d62-8428-8f57dc29a865;1;NA;socialdemokraten
http://hdl.handle.net/109.3.1/uuid:8b58618c-c5b5-49c1-8843-c7506cb3752d;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:4278cb37-8ff0-412b-a324-5e2bbb0f689d;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:182f6ea5-68d0-4414-b2ee-dffa3f4f4580;0;Femte;flyveposten
http://hdl.handle.net/109.3.1/uuid:f9eecf19-58a5-4ab6-9b81-471cd337526f;0;Kjøbmand;nationaltidende
